jobTitle,company,location,experience,salary,jobLink,skills
Data Analyst,Mercedes Benz,Bengaluru,1-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-mercedes-benz-research-and-development-india-pvt-ltd-bengaluru-1-to-5-years-031224502879,"GIT, Simulation, CAPL, UDS, Analytical, Debugging, Continuous improvement, German language"
Data Analyst,Zensar,Bengaluru,1-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-zensar-technologies-bengaluru-1-to-5-years-031224501585,"Excel, Conflict management, Management systems, Time management, VLOOKUP, business rules, Data Analyst, Windows"
Accountant (Data Maintenance Analyst),Visa,Bengaluru,0-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-accountant-data-maintenance-analyst-visa-inc-bengaluru-0-to-7-years-021224501742,"Procurement, Due diligence, Process improvement, Analytical, Oracle, Operations, Ariba, Data entry"
Data Analyst/Monitoring & Evaluation Expert,Blg Construction Services,Lucknow,7-12 Yrs,6-12 Lacs PA,https://www.naukri.com/job-listings-data-analyst-monitoring-evaluation-expert-blg-construction-services-lucknow-7-to-12-years-261124011140,"Data Analysis, Data Science, Statistical Analyses, Data Analytics, Analysis, Data, Analytics, Statistics"
Data Analyst,Wipro,Gurugram,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-wipro-limited-gurugram-2-to-5-years-231124906974,"Data Analysis, matlab, excel, python, project management, data analytics, process excellence, vba"
Data Analyst,MagikMinds Software Services Pvt. Ltd,Hyderabad,1-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-magikminds-software-services-pvt-ltd-hyderabad-1-to-4-years-141124500549,"Data management, Analytical, Agile, Data quality, data integrity, Data analytics, Data warehousing, Python"
Data Analyst,Adani Group,Ahmedabad,2-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-adani-group-ahmedabad-2-to-7-years-201124500862,"Data validation, query optimization, GCP, Business analytics, Analytical, data governance, Data quality, Data analytics"
Data Analyst,Leading MNC Company,"Hybrid - Hyderabad, Pune",12-16 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-sp-staffing-hyderabad-pune-12-to-16-years-271124018715,"Power Bi, Data Analyst, SQL, Powerbi, Data Analysis, Data Analytics, Bi, Data"
Data Analyst -(WFO - HYD),Nxtwave Disruptive Technologies,"Hyderabad, Chennai, Bengaluru",0-2 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-wfo-hyd-nxtwave-disruptive-technologies-hyderabad-chennai-bengaluru-0-to-2-years-271124009998,"SQL, Power Bi, Data Visualization, Tableau, Python, Bi, Data analysis, Wfo"
Data Analyst,Ozone Overseas,Gurugram,2-7 Yrs,2-7 Lacs PA,https://www.naukri.com/job-listings-data-analyst-ozone-overseas-gurugram-2-to-7-years-221124010351,"Data Analytics, Pivot Table, Excel, VLOOKUP, Data Management, Data Analysis, Formulas, Data Visualization"
Data Analyst-Paytm Money-,Paytm,"Noida, Mumbai (All Areas)",3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-paytm-money-paytm-money-noida-mumbai-all-areas-3-to-5-years-021224010616,"Tableau, SQL, R Programming, Data Analysis, Data Visualization, Business Intelligence, BigQuery, Power BI"
Claims Analyst (Data),Axa Xl,"Hybrid - New Delhi, Gurugram, Delhi / NCR",0-2 Yrs,1-5 Lacs PA,https://www.naukri.com/job-listings-claims-analyst-data-axa-xl-new-delhi-gurugram-delhi-ncr-0-to-2-years-281124011578,"Claims, Data Analytics, Excel, Data Analysis, Claims Handling, claims data, Claims Processing, Handling"
